id_dcie,id_dimension,id_fuente_origen
177,C00,C:00
178,C01,C:01
179,C02,C:02
181,C04,C:04
182,C05,C:05
183,C06,C:06
184,C07,C:07
185,C08,C:08
186,C09,C:09
187,C10,C:10
191,C14,C:14
192,C15,C:15
193,C16,C:16
195,C18,C:18
197,C20,C:20
198,C21,C:21
199,C22,C:22
200,C23,C:23
201,C24,C:24
202,C25,C:25
203,C26,C:26
204,C30,C:30
205,C31,C:31
206,C32,C:32
207,C33,C:33
208,C34,C:34
211,C39,C:39
212,C40,C:40
213,C41,C:41
214,C43,C:43
215,C44,C:44
217,C46,C:46
218,C47,C:47
220,C49,C:49
221,C50,C:50
222,C51,C:51
223,C52,C:52
224,C53,C:53
225,C54,C:54
226,C55,C:55
227,C56,C:56
228,C57,C:57
230,C60,C:60
231,C61,C:61
232,C62,C:62
233,C63,C:63
236,C66,C:66
237,C67,C:67
239,C69,C:69
241,C71,C:71
242,C72,C:72
243,C73,C:73
245,C75,C:75
246,C76,C:76
247,C77,C:77
248,C78,C:78
249,C79,C:79
250,C80,C:80
251,C81,C:81
252,C82,C:82
253,C83,C:83
254,C84,C:84
255,C85,C:85
257,C88,C:88
258,C90,C:90
259,C91,C:91
260,C92,C:92
262,C94,C:94
263,C95,C:95
264,C96,C:96
266,D00,D:00
267,D01,D:01
268,D02,D:02
269,D03,D:03
270,D04,D:04
271,D05,D:05
272,D06,D:06
273,D07,D:07
274,D09,D:09
356,E10,E:10
357,E11,E:11
358,E12,E:12
359,E13,E:13
360,E14,E:14
638,I00,I:00
639,I01,I:01
640,I02,I:02
641,I05,I:05
642,I06,I:06
643,I07,I:07
644,I08,I:08
645,I09,I:09
646,I10,I:10
647,I11,I:11
648,I12,I:12
649,I13,I:13
650,I15,I:15
651,I20,I:20
652,I21,I:21
653,I22,I:22
654,I23,I:23
655,I24,I:24
656,I25,I:25
657,I26,I:26
658,I27,I:27
659,I28,I:28
660,I30,I:30
661,I31,I:31
663,I33,I:33
664,I34,I:34
665,I35,I:35
666,I36,I:36
667,I37,I:37
668,I38,I:38
669,I39,I:39
670,I40,I:40
671,I41,I:41
672,I42,I:42
673,I43,I:43
674,I44,I:44
675,I45,I:45
676,I46,I:46
677,I47,I:47
678,I48,I:48
679,I49,I:49
680,I50,I:50
681,I51,I:51
682,I52,I:52
683,I60,I:60
684,I61,I:61
685,I62,I:62
686,I63,I:63
687,I64,I:64
688,I65,I:65
689,I66,I:66
690,I67,I:67
691,I68,I:68
692,I69,I:69
693,I70,I:70
694,I71,I:71
695,I72,I:72
696,I73,I:73
697,I74,I:74
698,I77,I:77
699,I78,I:78
700,I79,I:79
701,I80,I:80
702,I81,I:81
703,I82,I:82
704,I83,I:83
5465,I84,I:84
705,I85,I:85
706,I86,I:86
707,I87,I:87
708,I88,I:88
709,I89,I:89
710,I95,I:95
711,I97,I:97
712,I98,I:98
713,I99,I:99
748,J44,J:44
749,J45,J:45
1021,N18,N:18
1022,N19,N:19
194,C17,C:17
216,C45,C:45
219,C48,C:48
234,C64,C:64
238,C68,C:68
240,C70,C:70
244,C74,C:74
265,C97,C:97
662,I32,I:32
180,C03,C:03
188,C11,C:11
229,C58,C:58
261,C93,C:93
189,C12,C:12
190,C13,C:13
196,C19,C:19
210,C38,C:38
235,C65,C:65
209,C37,C:37
1,A00,A:00
2061,A001,A:00:1
2062,A009,A:00:9
2,A01,A:01
2063,A010,A:01:0
2067,A014,A:01:4
14587,A015,A:01:5
2068,A020,A:02:0
2069,A021,A:02:1
2071,A028,A:02:8
2072,A029,A:02:9
4,A03,A:03
2073,A030,A:03:0
2076,A033,A:03:3
2077,A038,A:03:8
2078,A039,A:03:9
5,A04,A:04
2079,A040,A:04:0
2082,A043,A:04:3
2083,A044,A:04:4
2084,A045,A:04:5
2085,A046,A:04:6
2086,A047,A:04:7
2087,A048,A:04:8
2088,A049,A:04:9
6,A05,A:05
2089,A050,A:05:0
2093,A054,A:05:4
2095,A059,A:05:9
7,A06,A:06
2096,A060,A:06:0
2097,A061,A:06:1
2098,A062,A:06:2
2099,A063,A:06:3
2104,A068,A:06:8
2105,A069,A:06:9
2106,A070,A:07:0
2107,A071,A:07:1
2110,A078,A:07:8
2111,A079,A:07:9
9,A08,A:08
2112,A080,A:08:0
2113,A081,A:08:1
2114,A082,A:08:2
2115,A083,A:08:3
2116,A084,A:08:4
2117,A085,A:08:5
14588,A086,A:08:6
10,A09,A:09
14590,A091,A:09:1
14591,A09X,A:09:X
11,A15,A:15
2120,A150,A:15:0
2122,A152,A:15:2
2123,A153,A:15:3
2129,A159,A:15:9
2132,A162,A:16:2
2134,A164,A:16:4
2138,A169,A:16:9
2139,A170,A:17:0
2162,A208,A:20:8
2163,A209,A:20:9
2170,A219,A:21:9
2171,A220,A:22:0
2172,A221,A:22:1
2177,A230,A:23:0
2182,A239,A:23:9
2195,A270,A:27:0
2197,A279,A:27:9
2198,A280,A:28:0
2213,A318,A:31:8
2214,A319,A:31:9
28,A33,A:33
32,A37,A:37
2226,A370,A:37:0
2227,A371,A:37:1
2229,A379,A:37:9
33,A38,A:38
34,A39,A:39
2234,A394,A:39:4
2236,A398,A:39:8
2237,A399,A:39:9
35,A40,A:40
2243,A409,A:40:9
36,A41,A:41
2244,A410,A:41:0
2245,A411,A:41:1
2246,A412,A:41:2
2247,A413,A:41:3
2248,A414,A:41:4
2249,A415,A:41:5
2250,A418,A:41:8
2251,A419,A:41:9
37,A42,A:42
2257,A429,A:42:9
2260,A438,A:43:8
2265,A449,A:44:9
40,A46,A:46
2269,A483,A:48:3
2271,A488,A:48:8
42,A49,A:49
2272,A490,A:49:0
2273,A491,A:49:1
2276,A498,A:49:8
2277,A499,A:49:9
43,A50,A:50
2278,A500,A:50:0
2279,A501,A:50:1
2280,A502,A:50:2
2281,A503,A:50:3
2286,A509,A:50:9
2287,A510,A:51:0
2290,A513,A:51:3
2291,A514,A:51:4
2293,A519,A:51:9
