id_combinado_origen_nomeclatura,id_dug,id_combinado_origen_datos_dataframe
1612,270,ALTA VERAPAZ_CAHABÓN
1614,272,ALTA VERAPAZ_CHAHAL
1613,271,ALTA VERAPAZ_CHISEC
1601,259,ALTA VERAPAZ_COBÁN
1615,273,ALTA VERAPAZ_FRAY BARTOLOMÉ DE LAS CASAS
1616,274,ALTA VERAPAZ_LA TINTA
1611,269,ALTA VERAPAZ_LANQUÍN
1607,265,ALTA VERAPAZ_PANZOS
1617,275,ALTA VERAPAZ_RAXRUHA
1603,261,ALTA VERAPAZ_SAN CRISTÓBAL VERAPAZ
1610,268,ALTA VERAPAZ_SAN JUAN CHAMELCO
1609,267,ALTA VERAPAZ_SAN PEDRO CARCHÁ
1602,260,ALTA VERAPAZ_SANTA CRUZ VERAPAZ
1608,266,ALTA VERAPAZ_SENAHÚ
1604,262,ALTA VERAPAZ_TACTIC
1605,263,ALTA VERAPAZ_TAMAHÚ
1606,264,ALTA VERAPAZ_TUCURÚ
1504,254,BAJA VERAPAZ_CUBULCO
1506,256,BAJA VERAPAZ_EL CHOL
1505,255,BAJA VERAPAZ_GRANADOS
1508,258,BAJA VERAPAZ_PURULHÁ
1503,253,BAJA VERAPAZ_RABINAL
1501,251,BAJA VERAPAZ_SALAMÁ
1507,257,BAJA VERAPAZ_SAN JERÓNIMO
1502,252,BAJA VERAPAZ_SAN MIGUEL CHICAJ
411,52,CHIMALTENANGO_ACATENANGO
401,42,CHIMALTENANGO_CHIMALTENANGO
416,57,CHIMALTENANGO_EL TEJAR
414,55,CHIMALTENANGO_PARRAMOS
409,50,CHIMALTENANGO_PATZICÍA
407,48,CHIMALTENANGO_PATZÚN
408,49,CHIMALTENANGO_POCHUTA
413,54,CHIMALTENANGO_SAN ANDRÉS ITZAPA
402,43,CHIMALTENANGO_SAN JOSÉ POAQUIL
404,45,CHIMALTENANGO_SAN JUAN COMALAPA
403,44,CHIMALTENANGO_SAN MARTÍN JILOTEPEQUE
405,46,CHIMALTENANGO_SANTA APOLONIA
410,51,CHIMALTENANGO_SANTA CRUZ BALANYÁ
406,47,CHIMALTENANGO_TECPÁN GUATEMALA
412,53,CHIMALTENANGO_YEPOCAPA
415,56,CHIMALTENANGO_ZARAGOZA
2005,310,CHIQUIMULA_CAMOTÁN
2001,306,CHIQUIMULA_CHIQUIMULA
2008,313,CHIQUIMULA_CONCEPCIÓN LAS MINAS
2007,312,CHIQUIMULA_ESQUIPULAS
2011,316,CHIQUIMULA_IPALA
2004,309,CHIQUIMULA_JOCOTÁN
2006,311,CHIQUIMULA_OLOPA
2009,314,CHIQUIMULA_QUETZALTEPEQUE
2010,315,CHIQUIMULA_SAN JACINTO
2002,307,CHIQUIMULA_SAN JOSÉ LA ARADA
2003,308,CHIQUIMULA_SAN JUAN LA ERMITA
1708,283,EL PETEN_DOLORES
1714,289,EL PETEN_EL CHAL
1701,276,EL PETEN_FLORES
1705,280,EL PETEN_LA LIBERTAD
1713,288,EL PETEN_LAS CRUCES
1711,286,EL PETEN_MELCHOR DE MENCOS
1712,287,EL PETEN_POPTÚN
1704,279,EL PETEN_SAN ANDRÉS
1703,278,EL PETEN_SAN BENITO
1706,281,EL PETEN_SAN FRANCISCO
1702,277,EL PETEN_SAN JOSÉ
1709,284,EL PETEN_SAN LUIS
1707,282,EL PETEN_SANTA ANA
1710,285,EL PETEN_SAYAXCHÉ
205,22,EL PROGRESO_EL JÍCARO
201,18,EL PROGRESO_GUASTATOYA
202,19,EL PROGRESO_MORAZÁN
203,20,EL PROGRESO_SAN AGUSTÍN ACASAGUASTLÁN
208,25,EL PROGRESO_SAN ANTONIO LA PAZ
204,21,EL PROGRESO_SAN CRISTÓBAL ACASAGUASTLÁN
207,24,EL PROGRESO_SANARATE
206,23,EL PROGRESO_SANSARE
501,58,ESCUINTLA_ESCUINTLA
508,65,ESCUINTLA_GUANAGAZAPA
510,67,ESCUINTLA_IZTAPA
503,60,ESCUINTLA_LA DEMOCRACIA
507,64,ESCUINTLA_LA GOMERA
505,62,ESCUINTLA_MASAGUA
513,70,ESCUINTLA_NUEVA CONCEPCIÓN
511,68,ESCUINTLA_PALÍN
509,66,ESCUINTLA_PUERTO DE SAN JOSÉ
512,69,ESCUINTLA_SAN VICENTE PACAYA
502,59,ESCUINTLA_SANTA LUCÍA COTZUMALGUAPA
514,71,ESCUINTLA_SIPACATE
504,61,ESCUINTLA_SIQUINALÁ
506,63,ESCUINTLA_TIQUISATE
114,14,GUATEMALA_AMATITLÁN
106,6,GUATEMALA_CHINAUTLA
112,12,GUATEMALA_CHUARRANCHO
113,13,GUATEMALA_FRAIJANES
101,1,GUATEMALA_GUATEMALA
108,8,GUATEMALA_MIXCO
105,5,GUATEMALA_PALENCIA
